1,タナゴ,900,11.12.1.2.3,5.6.7.8.9,all,川,小
2,オイカワ,200,all,all,9.10.11.12.13.14.15.16,川,小
3,フナ,160,all,all,all,川,やや小
4,ウグイ,240,all,all,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,中
5,コイ,300,all,all,all,池,やや大
6,ニシキゴイ,4000,all,all,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,池,やや大
7,キンギョ,1300,all,all,all,池,小
8,デメキン,1300,all,all,9.10.11.12.13.14.15.16,池,小
9,ランチュウ,4500,all,all,9.10.11.12.13.14.15.16,池,やや小
10,メダカ,300,4.5.6.7.8,10.11.12.1.2,all,池,小
11,ザリガニ,200,4.5.6.7.8.9,10.11.12.1.2.3,all,池,やや小
12,スッポン,3750,8.9,2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,中
13,カミツキガメ,5000,4.5.6.7.8.9.10,10.11.12.1.2.3.4,21.22.23.0.1.2.3.4,川,中
14,オタマジャクシ,100,3.4.5.6.7,9.10.11.12.1,all,池,小
15,カエル,120,5.6.7.8,11.12.1.2,all,池,やや小
16,ドンコ,400,all,all,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,やや小
17,ドジョウ,400,3.4.5,9.10.11,all,川,やや小
18,ナマズ,800,5.6.7.8.9.10,11.12.1.2.3.4,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,池,やや大
19,ライギョ,5500,6.7.8,12.1.2,9.10.11.12.13.14.15.16,池,大
20,ブルーギル,180,all,all,9.10.11.12.13.14.15.16,川,やや小
21,イエローパーチ,300,10.11.12.1.2.3,4.5.6.7.8.9,all,川,中
22,ブラックバス,320,all,all,all,川,やや大
23,ティラピア,800,6.7.8.9.10,12.1.2.3.4,all,川,やや大
24,パイク,1800,9.10.11.12,3.4.5.6,all,川,大
25,ワカサギ,400,12.1.2,6.7.8,all,川,やや小
26,アユ,900,7.8.9,1.2.3,all,川,中
27,ヤマメ,1000,3.4.5.6:9.10.11,9.10.11.12:3.4.5,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川(崖上),中
28,オオイワナ,3800,3.4.5.6:9.10.11,9.10.11.12:3.4.5,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川(崖上),やや大
29,ゴールデントラウト,15000,3.4.5:9.10.11,9.10.11:3.4.5,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川(崖上),中
30,イトウ,15000,12.1.2.3,6.7.8.9,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川(崖上),特大
31,サケ,700,9,3,all,川(河口),やや大
