1,モンシロチョウ,160,9.10.11.12.1.2.3.4.5.6,3.4.5.6.7.8.9.10.11.12,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,花,雨と雪の日以外
2,モンキチョウ,160,3.4.5.6.9.10,9.10.11.12、3.4,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,花,雨と雪の日以外
3,アゲハチョウ,240,3.4.5.6.7.8.9,9.10.11.12.1.2.3,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,空中,雨と雪の日以外
4,カラスアゲハ,2500,3.4.5.6,9.10.11.12,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,花（青・黒・紫）,雨と雪の日以外
5,アオスジアゲハ,300,4.5.6.7.8,10.11.12.1.2,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,空中,雨と雪の日以外
6,オオゴマダラ,1000,all,all,8.9.10.11.12.13.14.15.16.17.18.19,空中,雨と雪の日以外
7,オオムラサキ,300,5.6.7.8,11.2,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19,木,　
8,オオカバマダラ,140,9.10.11,3.4.5,4.5.6.7.8.9.10.11.12.13.14.15.16.17,花,雨と雪の日以外
9,モルフォチョウ,4000,12.1.2.3、6.7.8.9,6.7.8.9、12.1.2.3,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,花,雨と雪の日以外
10,ミイロタテハ,3000,4.5.6.7.8.9,10.11.12.1.2.3,8.9.10.11.12.13.14.15.16.17,花,雨と雪の日以外
11,アカエリトリバネアゲハ,2500,12.1.2、4.5.6.7.8.9,6.7.8、10.11.12.1.2.3,8.9.10.11.12.13.14.15.16.17,空中,雨と雪の日以外
12,アレクサンドラトリバネアゲハ,4000,5.6.7.8.9,11.2.3,8.9.10.11.12.13.14.15.16,花,雨と雪の日以外
13,ガ,130,all,all,19.20.21.22.23.0.1.2.3.4,空中（外灯の近く）,雨と雪の日以外
14,ヨナグニサン,3000,4.5.6.7.8.9,10.11.12.1.2.3,19.20.21.22.23.0.1.2.3.4,木,　
15,ニシキオオツバメガ,2500,4.5.6.7.8.9,10.11.12.1.2.3,8.9.10.11.12.13.14.15.16,花,雨と雪の日以外
16,ショウリョウバッタ,200,4.5.6.7.8.9.10.11,10.11.12.1.2.3.4.5,8.9.10.11.12.13.14.15.16.17.18.19,草地,雨と雪の日以外
17,トノサマバッタ,600,8.9.10.11,2.3.4.5,8.9.10.11.12.13.14.15.16.17.18.19,草地,雨と雪の日以外
18,イナゴ,400,8.9.10.11,2.3.4.5,8.9.10.11.12.13.14.15.16.17.18.19,草地,雨と雪の日以外
19,キリギリス,160,7.8.9,1.2.3,8.9.10.11.12.13.14.15.16.17,草地,雨と雪の日以外
20,コオロギ,130,9.10.11,3.4.5,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,草地,雨と雪の日以外
21,スズムシ,430,9.10,3.4,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,草地,雨と雪の日以外
22,カマキリ,430,3.4.5.6.7.8.9.10.11,9.10.11.12.1.2.3.4.5,8.9.10.11.12.13.14.15.16.17,花,雨と雪の日以外
23,ハナカマキリ,2400,3.4.5.6.7.8.9.10.11,9.10.11.12.1.2.3.4.5,8.9.10.11.12.13.14.15.16.17,花（白い花・スズラン）,雨と雪の日以外
